participant,block,trial,screenID,setsize,nTarget,nDistractor,layout,colorCon,radius,cueType,cueColor,condition,ratio,correct,acc,RT
20,0,48,cue,6,2,4,intermixed,random,large,color,#ecb718,negative,even,NA,NA,NA
20,0,48,judge,6,2,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1087
20,0,49,cue,4,2,2,intermixed,random,large,color,#660fbd,negative,even,NA,NA,NA
20,0,49,judge,4,2,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,1175
20,0,50,cue,4,2,2,intermixed,random,large,color,#ecb718,negative,even,NA,NA,NA
20,0,50,judge,4,2,2,intermixed,random,large,color,NA,negative,even,arrowup,1,1239
20,0,51,cue,10,6,4,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,51,judge,10,6,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1433
20,0,52,cue,8,6,2,intermixed,random,large,color,#0eaaaa,negative,even,NA,NA,NA
20,0,52,judge,8,6,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,1720
20,0,53,cue,4,2,2,intermixed,random,large,color,#0eaaaa,negative,even,NA,NA,NA
20,0,53,judge,4,2,2,intermixed,random,large,color,NA,negative,even,arrowup,1,1593
20,0,54,cue,6,4,2,intermixed,random,large,color,#660fbd,negative,even,NA,NA,NA
20,0,54,judge,6,4,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,2210
20,0,55,cue,10,6,4,intermixed,random,large,color,#52970c,negative,even,NA,NA,NA
20,0,55,judge,10,6,4,intermixed,random,large,color,NA,negative,even,arrowdown,1,2962
20,0,56,cue,8,6,2,intermixed,random,large,color,#660fbd,negative,even,NA,NA,NA
20,0,56,judge,8,6,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,1519
20,0,57,cue,8,4,4,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
20,0,57,judge,8,4,4,intermixed,random,large,color,NA,negative,even,arrowup,1,4231
20,0,58,cue,6,2,4,intermixed,random,large,color,#2b5bee,negative,even,NA,NA,NA
20,0,58,judge,6,2,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1577
20,0,59,cue,4,2,2,intermixed,random,large,color,#2b5bee,negative,even,NA,NA,NA
20,0,59,judge,4,2,2,intermixed,random,large,color,NA,negative,even,arrowup,1,1648
20,0,60,cue,10,6,4,intermixed,random,large,color,#2b5bee,negative,even,NA,NA,NA
20,0,60,judge,10,6,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1814
20,0,61,cue,8,2,6,intermixed,random,large,color,#52970c,negative,even,NA,NA,NA
20,0,61,judge,8,2,6,intermixed,random,large,color,NA,negative,even,arrowup,1,1494
20,0,62,cue,12,6,6,intermixed,random,large,color,#52970c,negative,even,NA,NA,NA
20,0,62,judge,12,6,6,intermixed,random,large,color,NA,negative,even,arrowup,1,2029
20,0,63,cue,8,2,6,intermixed,random,large,color,#52970c,negative,even,NA,NA,NA
20,0,63,judge,8,2,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,1147
20,0,64,cue,8,2,6,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
20,0,64,judge,8,2,6,intermixed,random,large,color,NA,negative,even,arrowup,1,1080
20,0,65,cue,8,4,4,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,65,judge,8,4,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1615
20,0,66,cue,8,4,4,intermixed,random,large,color,#0eaaaa,negative,even,NA,NA,NA
20,0,66,judge,8,4,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1633
20,0,67,cue,10,4,6,intermixed,random,large,color,#ecb718,negative,even,NA,NA,NA
20,0,67,judge,10,4,6,intermixed,random,large,color,NA,negative,even,arrowup,1,1881
20,0,68,cue,12,6,6,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
20,0,68,judge,12,6,6,intermixed,random,large,color,NA,negative,even,arrowup,1,1552
20,0,69,cue,6,2,4,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,69,judge,6,2,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1037
20,0,70,cue,8,4,4,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
20,0,70,judge,8,4,4,intermixed,random,large,color,NA,negative,even,arrowdown,1,1800
20,0,71,cue,12,6,6,intermixed,random,large,color,#2b5bee,negative,even,NA,NA,NA
20,0,71,judge,12,6,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,1488
20,0,72,cue,8,2,6,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
20,0,72,judge,8,2,6,intermixed,random,large,color,NA,negative,even,arrowup,1,1277
20,0,73,cue,8,6,2,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
20,0,73,judge,8,6,2,intermixed,random,large,color,NA,negative,even,arrowup,1,1619
20,0,74,cue,4,2,2,intermixed,random,large,color,#0eaaaa,negative,even,NA,NA,NA
20,0,74,judge,4,2,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,1176
20,0,75,cue,10,6,4,intermixed,random,large,color,#0eaaaa,negative,even,NA,NA,NA
20,0,75,judge,10,6,4,intermixed,random,large,color,NA,negative,even,arrowdown,1,3073
20,0,76,cue,6,4,2,intermixed,random,large,color,#ecb718,negative,even,NA,NA,NA
20,0,76,judge,6,4,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,1231
20,0,77,cue,10,4,6,intermixed,random,large,color,#52970c,negative,even,NA,NA,NA
20,0,77,judge,10,4,6,intermixed,random,large,color,NA,negative,even,arrowup,1,2552
20,0,78,cue,6,4,2,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,78,judge,6,4,2,intermixed,random,large,color,NA,negative,even,arrowup,1,2392
20,0,79,cue,8,2,6,intermixed,random,large,color,#52970c,negative,even,NA,NA,NA
20,0,79,judge,8,2,6,intermixed,random,large,color,NA,negative,even,arrowup,1,1148
20,0,80,cue,8,6,2,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
20,0,80,judge,8,6,2,intermixed,random,large,color,NA,negative,even,arrowup,1,2379
20,0,81,cue,8,2,6,intermixed,random,large,color,#660fbd,negative,even,NA,NA,NA
20,0,81,judge,8,2,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,1008
20,0,82,cue,4,2,2,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
